Date,AAPL,AMZN,AVGO,GOOG,LLY,META,MSFT,NVDA,TSLA,TSM,trade,return
2024-07-01,,,,,,,,,,,0.0,0.0
2024-07-02,0.0,0.0,0.0,0.00046447070348151716,-0.00162503319062405,0.0,0.0,-0.010039544711135658,0.0,0.0,-0.011263300691214825,0.016588325669848688
2024-07-03,0.0,-0.0,0.0,0.00016894888031757194,-0.0018420186803075544,0.0,0.0,0.0350123129647714,0.0,0.0,0.03279554199836032,0.018397390529656013
2024-07-05,0.0,0.0,-0.0,0.0009857500221280503,0.0035573509001683274,0.0,0.0,-0.014621867644634334,0.0,0.0,-0.010129901364548709,0.014392716008212379
2024-07-08,0.0,-0.0,0.0,-0.0003116380598827155,0.0007275003268417662,-0.0,-0.0,0.014419808752794423,0.0,0.0,0.014726698913305025,0.0040320314250007604
2024-07-09,0.0,0.0,-0.0,-8.486605742056998e-06,0.003063954248366017,0.0,-0.0,0.018990501814212867,0.0,-0.0,0.021806470669005,0.004983518749949302
2024-07-10,0.0,0.0,0.0,0.00047118487812679457,0.0015144022337885222,0.0,0.0,0.020570343012640907,0.0,0.0,0.022305306827181737,0.013542315815149211
2024-07-11,-0.0,-0.0,-0.0,-0.0011245262148462175,-0.0011641554485068836,-0.0,-0.0,-0.042617911047403666,-0.0,-0.0,-0.04594613460452805,-0.03492934818827825
2024-07-12,0.0,-0.0,-0.0,-0.00011221875253821018,0.002961179963345173,-0.0,-0.0,0.011057210521521728,0.0,0.0,0.013810368079212728,0.0049707735668177875
2024-07-15,0.0,-0.0,0.0,0.00030513089407289577,0.00042133943075644,-0.0,0.0,-0.004739046041186204,0.0,-0.0,-0.004020647698492013,0.002097564066251813
2024-07-16,0.0,0.0,-0.0,-0.0005777666043417714,-0.0018082525917593546,-0.0,-0.0,-0.012398229302149219,0.0,0.0,-0.014894624737548242,-0.0051168901568459865
2024-07-17,-0.0,-0.0,-0.0,-0.000627546077430087,-0.007418447361778637,-0.0,-0.0,-0.05071217451569707,-0.0,-0.0,-0.06055517767982218,-0.044168927852299145
2024-07-18,-0.0,-0.0,0.0,-0.0007525339884480387,-0.012143162300239258,0.0,-0.0,0.020114652722873955,0.0,0.0,0.007193024494426217,-0.0038941450142394875
2024-07-19,0.0,-0.0,-0.0,3.834017376391188e-05,0.0019582967762308517,0.0,-0.0,-0.0199790357242677,-0.0,-0.0,-0.01814604693318238,-0.011946899307646483
2024-07-22,-0.0,-0.0,0.0,0.0008922652986181336,0.0019229011584487004,0.0,0.0,0.03641957395204516,0.0,0.0,0.03848461577036493,0.020494429087622765
2024-07-23,0.0,0.0,0.0,5.5113169695202205e-05,0.0027597204309654224,0.0,0.0,-0.0058872753699444015,-0.0,0.0,-0.003077171408675497,0.003981773797757941
2024-07-24,-0.0,-0.0,-0.0,-0.0020320099763887715,-0.004066045019205489,-0.0,-0.0,-0.05208432977456723,-0.0,-0.0,-0.05994363755715428,-0.0563763381629125
2024-07-25,-0.0,-0.0,-0.0,-0.0012077069479340752,-0.00872806278895485,-0.0,-0.0,-0.013200991112105957,0.0,0.0,-0.02340861713567698,-0.013579653474548698
2024-07-26,0.0,0.0,0.0,-0.000114696403684986,-0.003914136815104858,0.0,0.0,0.005318483006182576,-0.0,0.0,0.0012888189033951204,0.006831048599779264
2024-07-29,0.0,0.0,-0.0,0.0005870849994554317,0.0007642281929901144,0.0,0.0,-0.009954168219178093,0.0,-0.0,-0.00864007319276206,0.004866158166265275
2024-07-30,0.0,0.0,-0.0,0.00037318805696852397,0.0027123543050908833,0.0,0.0,-0.014681980343112883,-0.0,-0.0,-0.011664201050879033,0.0005073833483436265
