date,return,trade
2024-07-02,0.0062240045,0.0031458606
2024-07-03,6.235999999999987e-05,0.0031000021999999998
2024-07-05,-0.000718651,-0.0016198294000000003
2024-07-08,-0.006061245200000001,-0.0026200746000000002
2024-07-09,0.00041848710000000024,-0.0004411988
2024-07-10,0.008218790200000001,0.0072709916
2024-07-11,0.013217675000000002,0.016550088600000002
2024-07-12,0.007000034300000001,0.008435763199999998
2024-07-15,0.0156302538,0.0202681192
2024-07-16,0.026037357599999998,0.0214116858
2024-07-17,0.0107678995,0.003714281200000001
2024-07-18,-0.007506120399999999,0.0008348829999999998
2024-07-19,-0.0048361770000000005,0.0008889394000000002
2024-07-22,-0.0003681677999999999,-0.0044598777999999995
2024-07-23,-0.007044171700000002,-0.0053574202
2024-07-24,-0.0061715575,-0.004520091800000001
2024-07-25,0.009141847800000002,0.0205482954
2024-07-26,0.019060949299999998,0.0172529632
2024-07-29,0.010947871299999998,0.015274669999999999
2024-07-30,0.0173950135,0.025741928999999997
