date,return,trade
2024-07-02,0.00622400452439832,0.013640544042267277
2024-07-03,6.23600292447602e-05,0.00707714362450796
2024-07-05,-0.00071865093937359,0.0031832944983129995
2024-07-08,-0.00606124512752456,0.00262491581110208
2024-07-09,0.00041848710361159,0.010392825076086739
2024-07-10,0.00821879000194799,0.0182899597034554
2024-07-11,0.01321767487365881,0.01820583970526956
2024-07-12,0.007000034269224501,0.01338135523411518
2024-07-15,0.015630254003956533,0.026499817978120437
2024-07-16,0.02603735777993546,0.03707263116749032
2024-07-17,0.01076789955866088,0.02693911642985498
2024-07-18,-0.007506120425566419,0.00532300126720232
2024-07-19,-0.00483617373090786,0.0037234916877422405
2024-07-22,-0.0003681678506394599,0.0087207796550415
2024-07-23,-0.007044171773149689,0.0019208774700140401
2024-07-24,-0.006171557551531279,0.00875426408424836
2024-07-25,0.009141847671063718,0.03009121882078608
2024-07-26,0.0190609493000848,0.035203405454315065
2024-07-29,0.010947871335399262,0.01789886694262596
2024-07-30,0.01739501338357723,0.032790037539912054
